incident_zip,month,hours_elapsed
10035.0,5,96.90281997540811
10035.0,6,167.36091541267675
10035.0,7,156.75587350165785
10035.0,8,105.42151515151521
10035.0,9,111.17500206197724
10036.0,1,45.56020625692142
10036.0,2,81.95955152671746
10036.0,3,134.62761412198904
10036.0,4,191.14907156673124
10036.0,5,137.17246548569526
10036.0,6,155.15254035776627
10036.0,7,85.44545677361846
10036.0,8,131.33794673897935
10036.0,9,116.36609339665308
10037.0,1,56.48383193130041
10037.0,2,52.3877767215885
10037.0,3,71.37901868025233
10037.0,4,36.12210849186658
10037.0,5,31.075946422428647
10037.0,6,98.11291304105319
10037.0,7,155.01465913480118
10037.0,8,147.5821218164009
10037.0,9,75.85204293935365
10038.0,1,15.924301957397812
10038.0,2,33.8866854822737
10038.0,3,68.38735815602834
10038.0,4,81.95403877484522
10038.0,5,48.916539522058834
10038.0,6,117.66797419804736
10038.0,7,94.2554586683158
10038.0,8,84.80970833333338
10038.0,9,137.66406961178046
10039.0,1,42.345474304286
10039.0,2,115.50398786181145
10039.0,3,88.74666392414983
10039.0,4,40.49441299790357
10039.0,5,60.36645234395248
10039.0,6,155.48836217095536
10039.0,7,138.6825216049383
10039.0,8,142.61253379805646
10039.0,9,119.26357207381592
10040.0,1,31.872392698412703
10040.0,2,56.18301710777293
10040.0,3,55.0372600702893
10040.0,4,34.341014535167304
10040.0,5,25.957601473922942
10040.0,6,68.70537365978554
10040.0,7,36.1386007074489
10040.0,8,51.36504268374021
10040.0,9,138.40328889554613
10041.0,1,0.9603703703703704
10041.0,2,0.0
10041.0,3,514.0544444444445
10041.0,4,0.055
10041.0,6,9.68861111111111
10041.0,7,116.81048611111112
10041.0,8,25.04652777777778
10041.0,9,11.008
10044.0,1,41.801944444444445
10044.0,2,36.10912698412698
10044.0,3,120.44786324786325
10044.0,4,26.69028395061728
10044.0,5,40.80710317460318
10044.0,6,174.5876099537037
10044.0,7,89.5129475308642
10044.0,8,114.47143229166667
10044.0,9,222.27045833333335
10045.0,1,35.85861111111111
10045.0,2,1.5197222222222222
10045.0,3,288.0002777777778
10045.0,4,0.15694444444444444
10045.0,5,1.0094444444444444
10045.0,9,306.90037037037035
10048.0,8,0.2086111111111111
10048.0,9,7.65
10055.0,3,166.79861111111111
10055.0,9,230.31333333333333
10065.0,1,43.39614403917599
10065.0,2,85.65246809835048
10065.0,3,89.42597132034638
10065.0,4,129.8394249823073
10065.0,5,119.68688280499518
10065.0,6,172.1208101851851
10065.0,7,91.77272741580103
10065.0,8,138.75258388338844
10065.0,9,138.20402551328507
10069.0,1,54.7653888888889
10069.0,2,109.53324074074071
10069.0,3,107.49966666666667
10069.0,4,40.81768518518517
10069.0,5,58.307404513888876
10069.0,6,157.7590432098765
10069.0,7,77.80111111111111
10069.0,8,131.00881944444444
10069.0,9,61.30932870370372
10075.0,1,53.156712164750935
10075.0,2,133.8856366120218
10075.0,3,111.04517109500812
10075.0,4,88.56872414622407
10075.0,5,348.326375186846
10075.0,6,183.82176565377526
10075.0,7,179.69511226252163
10075.0,8,178.17015704750685
10075.0,9,205.4122596333707
10103.0,1,0.7603703703703704
10103.0,2,28.504325396825397
10103.0,3,0.35944444444444446
10103.0,4,1694.8216666666667
10103.0,5,0.021111111111111112
10103.0,6,0.0
10103.0,8,31.811759259259258
10103.0,9,2.7198611111111113
10105.0,1,103.34796296296294
10105.0,3,44.496944444444445
10105.0,4,0.12472222222222222
10105.0,5,2.05375
10105.0,6,2159.318888888889
10105.0,7,69.4225
10105.0,8,0.7172222222222222
10105.0,9,4.6752777777777785
10106.0,2,1.3
10106.0,3,60.316666666666656
10106.0,4,0.6466666666666666
10107.0,3,18.682954545454546
10107.0,5,21.411527777777778
10107.0,8,2.859583333333333
10110.0,1,12.721666666666666
10110.0,2,90.08972222222222
10110.0,4,1243.0841666666668
10110.0,7,2.3223611111111113
10111.0,3,1.2661111111111112
10111.0,4,360.8675694444444
10111.0,5,0.0575
10111.0,7,3.5005555555555556
10111.0,8,995.7411111111111
10112.0,2,0.15305555555555556
10112.0,3,816.3588888888889
10112.0,4,43.39333333333334
10112.0,6,24.920277777777777
10112.0,7,2.069166666666667
10112.0,8,425.5566666666667
10112.0,9,146.0914814814815
10115.0,3,171.98694444444445
10115.0,5,352.6045833333334
10115.0,7,121.61666666666666
10115.0,8,388.25444444444446
10118.0,1,100.93061111111112
10118.0,2,40.20291666666667
10118.0,3,30.24361111111111
10118.0,4,2122.947222222222
10118.0,6,635.2755555555556
10118.0,7,30.953611111111112
10118.0,8,34.76833333333333
10119.0,1,125.4723611111111
10119.0,2,20.524675925925926
10119.0,3,22.578125
10119.0,4,871.3844444444445
10119.0,5,7.911277777777778
10119.0,6,1.2499259259259259
10119.0,7,3.233763888888889
10119.0,8,4.076319444444445
10119.0,9,6.91381313131313
10120.0,1,5.689259259259259
